chinese_name,english_names,english_descriptions,chinese_spans,csi_category_stage_1,csi_consensus_spans,csi_or_not,csi_category_stage_2
水煮牛肉,"['sliced beef in chili oil', 'meat in hot chilli oil beef', 'spicy hot poached beef', 'classic sichuan boiled beef in sizzling chilli oil', 'sliced beef in hot chilli oil']","['', 'Tender cuts of boiled beef in hot Sichuan chilli bean sauce with fresh garlic.;Garnished with coriander and a sizzling pile of chillies', '', '', '']",水煮 牛肉 水煮牛肉,2,水煮牛肉,1,2.0
炭烤百香果银鳕鱼,['chargrilled silver cod with yellow bean sauce and passion fruit'],[''],炭烤 百香 香果 百香果 银 鳕鱼,0,,0,
葱花炸两肠粉,"['royal china club mixed seafood cheung fun', 'fried dough stick cheung', 'rice pasta roll with crispy dough stick v']","['', 'Fun V', 'DS']",肠粉 炸两 葱花,1,肠粉,1,
凉拌香酥鸭沙律,['crispy aromatic duck salad'],[''],凉拌 香酥 鸭 沙律,0,,0,
虾片,"['prawn cracker', 'prawn crackers']","['', '']",虾片,0,,0,
凉拌莜面,"['oat noodles with garlic sauce', 'cold oat noodles with seascoms sauce']","['', '']",凉拌 莜面,1,,1,
豉椒青口,"['mussels in chilli and black bean sauce', 'mussels in black bean and chilli sauce']","['', '']",豉椒 青口,0,,0,
佛跳墙,"['Fotiaoqiang steamed abalone with shark fin and fish maw in superior broth', 'Buddha jumps over the wall', 'Buddha Jumping over the Wall', 'buddha jumps over the wall', 'Buddha jump over the wall soup']","['', 'For people need to book five days in advance', 'Súp Phật nhảy tường', '', '']",佛跳墙 跳墙,3,佛跳墙,1,3.0
红糖糍粑,"['deep fried sticky rice cake strip with brown sugar syrup', 'deep fried glutinous rice cake with melted brown sugar']","['', '']",糍粑 红糖,1,糍粑,1,1.0
上海肉松生菜饱,"['shanghai strapped pork chop with lettuce wrap', 'shanghai minced pork with lettuce wrap']","['', '']",上海 肉松 生菜 饱,0,,0,
椒盐骨,"['salt and pepper spare ribs', 'salt and pepper pork ribs']","['', '']",椒盐 骨,0,,0,
咕噜虾球,"['sweet and sour prawns', 'sweet and sour king prawns']","['', '']",虾球 咕噜,1,咕噜,1,1.0
大虾炒饭,['king prawn fried rice'],[''],大虾 炒饭,0,,0,
百花酿鸡片,['pak far chicken with prawn meat stuffing'],[''],鸡片 百花酿 百花,1,百花酿,1,1.0
西柠芝麻虾,['sesame king prawns in lemon sauce'],[''],西柠 芝麻 虾,0,,0,
炸酱面,"['zha jiang noodles with pork', 'noodles with soybean paste in sweet and savoury noodles with minced pork carrots beans sprout cucumbers and yellow bean sauce']","['', '']",炸酱 炸酱面,0,,0,
咖喱鸡饭,"['chicken curry with rice', 'rice topped with curry chicken']","['', '']",咖喱 咖喱鸡 饭,0,,0,
梅子鸭,"['duck in plum sauce', 'braised duck with plum sauce']","['', '']",梅子 鸭,0,,0,
柠檬鸡,"['fried boneless chicken in lemon sauce', 'chicken in honey and lemon sauce', 'lemon chicken']","['', '', '']",柠檬 鸡,0,,0,
蜜汁叉烧,"['char sui pork', 'char siu pork', 'bbq pork with honey sauce', 'barbecued char siu pork', 'char siu bbq pork', 'Honey-Stewed BBQ Pork']","['', '', '', '', '', '']",蜜汁 叉烧,1,叉烧,1,
三鲜炒面,"['seafood chow mein', 'three kinds of seafood chow mein']","['', '']",三鲜 炒面,2,,1,
